name;markets;type
1inch Exchange;610;decentral
0x Protocol;269;decentral
Balancer;422;decentral
Tokenlon;75;decentral
Venus;13;decentral
Synthetix Exchange;39;decentral
dYdX;4;decentral
BurgerSwap;74;decentral
PancakeSwap;64;decentral
Compound;9;decentral
Kyber Network;82;decentral
DODO;11;decentral
JustSwap;28;decentral
Serum DEX;37;decentral
Bancor Network;93;decentral
Radar Relay;22;decentral
Bisq;19;decentral
Nash Exchange;18;decentral
Bamboo Relay;68;decentral
Gnosis Protocol;48;decentral
Mooniswap;103;decentral
Oasis;6;decentral
Binance DEX;92;decentral
Cybex DEX;7;decentral
ViteX;63;decentral
Anyswap;22;decentral
DeversiFi;20;decentral
PoloniDEX;34;decentral
IDEX;42;decentral
Switcheo Network;66;decentral
Newdex;39;decentral
DDEX;3;decentral
TronTrade;25;decentral
SashimiSwap;9;decentral
Stellarterm;23;decentral
TokenSets;15;decentral
TomoDEX;24;decentral
dex.blue;12;decentral
Birake Network;43;decentral
Allbit;24;decentral
Loopring Exchange;28;decentral
Uniswap;51;decentral
Nexus Mutual;1;decentral
