name;score; volume ;coins;markets;liquidity;type
Globitex;3.90; 5,213,238 ;5;7;53;central
COREDAX;3.90; 11,025,154 ;14;15;27;central
CryptoMarket;3.80; 2,834,047 ;7;12;61;central
Folgory;3.80; 671,776,139 ;90;236;609;central
Kuna;3.80; 5,284,243 ;21;32;39;central
Bitcoin.com Exchange;3.80; 4,091,317,098 ;65;188;235;central
GDAC;3.80; 5,092,624 ;34;34;37;central
CoinMate;3.80; 927,624 ;8;17;43;central
Cat.Ex;3.80; 232,195,963 ;69;154;59;central
BTC-Alpha;3.80; 982,015,259 ;60;83;79;central
Crex24;3.80; 4,518,129 ;366;448;38;central
NiceHash;3.80; 990,271 ;16;18;116;central
ATOMARS;3.80; 107,644,449 ;145;337;94;central
ChainX;3.80; 62,997,215 ;30;31;18;central
Virtuse Exchange;3.70; 14,860,680 ;11;25;98;central
Lykke Exchange;3.70; 3,669,293 ;26;54;46;central
OceanEx;3.70; 132,745,241 ;46;88;75;central
Bibox;3.70; 681,072,651 ;129;268;248;central
BitMart;3.70; 386,324,228 ;93;177;109;central
CoinEgg;3.70; 222,421,316 ;52;64;36;central
BitBay;3.70; 92,182,564 ;35;82;68;central
Tokens.net;3.70; 7,154,386 ;27;39;21;central
CoinBene;3.70; 6,094,733,991 ;48;208;155;central
ZBG;3.70; 955,801,954 ;46;74;187;central
Cryptonex;3.60; 475,967,760 ;8;18;73;central
KickEX;3.60; 5,318,203 ;8;14;16;central
Tokenize Xchange;3.60; 45,896,146 ;17;44;128;central
Bitvast;3.60; 258,091,234 ;9;14;226;central
VELIC;3.60; 1,735,741 ;17;29;50;central
CoinField;3.60; 70,222,255 ;27;75;63;central
Hanbitco;3.60; 2,169,550 ;40;49;4;central
BTCBOX;3.60; 21,518,357 ;2;1;11;central
Dcoin;3.60; 973,309,546 ;71;84;43;central
Prizmbit;3.60; 1,915,294 ;10;17;26;central
Exrates;3.60; 64,650,764 ;54;110;77;central
CROSS exchange;3.50; 1,439,780 ;29;43;46;central
Coinut;3.50; 503,696 ;11;28;90;central
Narkasa;3.50; 756,028 ;6;8;76;central
TOKOK;3.50; 146,455,014 ;71;114;143;central
Coinsuper;3.50; 90,072,641 ;36;61;35;central
BitUBU;3.50; 66,275,580 ;29;79;139;central
STEX;3.50; 48,110,089 ;212;279;47;central
Coinall;3.50; 3,529,122 ;89;136;156;central
Giottus;3.50; 1,474,701 ;34;50;19;central
EXIR;3.50; 1,229,882 ;9;9;23;central
Dove Wallet;3.40; 1,084,610 ;28;162;26;central
BBX;3.40; 189,309,298 ;18;19;131;central
TradeOgre;3.40; 739,201 ;65;69;23;central
YoBit;3.40; 18,735 ;132;460;26;central
BTSE;3.40; 43,987,815 ;20;26;87;central
Koinim;3.40; 1,084,817 ;7;6;20;central
Bitsten;3.40; 1,359,826 ;17;22;18;central
Satang Pro;3.40; 1,273,383 ;27;26;14;central
Bitget;3.40; 1,032,809,983 ;19;37;227;central
Bitex.la;3.40; 1,361,961 ;2;1;13;central
