name; score ;volume;coins;markets;liquidity;type
Crex24; 3.80 ;4518129;366;448;38;central
NiceHash; 3.80 ;990271;16;18;116;central
ATOMARS; 3.80 ;107644449;145;337;94;central
ChainX; 3.80 ;62997215;30;31;18;central
Virtuse Exchange; 3.70 ;14860680;11;25;98;central
Lykke Exchange; 3.70 ;3669293;26;54;46;central
OceanEx; 3.70 ;132745241;46;88;75;central
Bibox; 3.70 ;681072651;129;268;248;central
BitMart; 3.70 ;386324228;93;177;109;central
CoinEgg; 3.70 ;222421316;52;64;36;central
BitBay; 3.70 ;92182564;35;82;68;central
Tokens.net; 3.70 ;7154386;27;39;21;central
CoinBene; 3.70 ;6094733991;48;208;155;central
ZBG; 3.70 ;955801954;46;74;187;central
Cryptonex; 3.60 ;475967760;8;18;73;central
KickEX; 3.60 ;5318203;8;14;16;central
Tokenize Xchange; 3.60 ;45896146;17;44;128;central
Bitvast; 3.60 ;258091234;9;14;226;central
VELIC; 3.60 ;1735741;17;29;50;central
CoinField; 3.60 ;70222255;27;75;63;central
Hanbitco; 3.60 ;2169550;40;49;4;central
BTCBOX; 3.60 ;21518357;2;1;11;central
Dcoin; 3.60 ;973309546;71;84;43;central
Prizmbit; 3.60 ;1915294;10;17;26;central
Exrates; 3.60 ;64650764;54;110;77;central
CROSS exchange; 3.50 ;1439780;29;43;46;central
Coinut; 3.50 ;503696;11;28;90;central
Narkasa; 3.50 ;756028;6;8;76;central
TOKOK; 3.50 ;146455014;71;114;143;central
Coinsuper; 3.50 ;90072641;36;61;35;central
BitUBU; 3.50 ;66275580;29;79;139;central
STEX; 3.50 ;48110089;212;279;47;central
Coinall; 3.50 ;3529122;89;136;156;central
Giottus; 3.50 ;1474701;34;50;19;central
EXIR; 3.50 ;1229882;9;9;23;central
Dove Wallet; 3.40 ;1084610;28;162;26;central
BBX; 3.40 ;189309298;18;19;131;central
TradeOgre; 3.40 ;739201;65;69;23;central
YoBit; 3.40 ;18735;132;460;26;central
BTSE; 3.40 ;43987815;20;26;87;central
Koinim; 3.40 ;1084817;7;6;20;central
Bitsten; 3.40 ;1359826;17;22;18;central
Satang Pro; 3.40 ;1273383;27;26;14;central
Bitget; 3.40 ;1032809983;19;37;227;central
Bitex.la; 3.40 ;1361961;2;1;13;central
LATOKEN; 3.30 ;8517918;146;256;107;central
HBTC; 3.30 ;9949715042;111;161;213;central
C2CX; 3.30 ;43364111;18;37;111;central
Bitribe; 3.30 ;6701338384;35;57;139;central
Bithumb Singapore; 3.30 ;83025;5;5;6;central
Waves Exchange; 3.30 ;9964905;14;45;63;central
BitZ; 3.30 ;8601557136;98;189;137;central
